,subject,sessions,agent,loglik,logpostprob,BIC,AIC,params,params,params,params,params,params,params,param_ranges,param_ranges,param_ranges,param_ranges,param_ranges,param_ranges,param_ranges
,,,,,,,,G_td,G_mb,alpQ,lbd,alpT,bias,pers,G_td,G_mb,alpQ,lbd,alpT,bias,pers
19,20,1-4,MF_MB,-65.23239465735546,-71.25112722827998,162.70098061662756,144.4647893147109,0.8965155920428413,0.8191966744919063,0.6051438801101633,0.5051612558496126,0.4992207152116517,0.15632874047124704,-0.4331152919238217,pos,pos,unit,unit,unit,unc,unc
20,21,1-4,MF_MB,-57.52767978292294,-64.53859311926617,147.2915508677625,129.0553595658459,1.4093284178718828,0.7575821446704868,0.7888933694164718,0.8598411478161023,0.40689689573998067,0.4689301950944999,-0.3333993417338298,pos,pos,unit,unit,unit,unc,unc
21,22,1-4,MF_MB,-54.959667174644316,-60.91109697592072,142.15552565120527,123.91933434928863,1.2505293492089087,1.5589132678303952,0.7287153304272135,0.6694311777294886,0.37435509977020925,-0.184788740458699,0.2476367351062702,pos,pos,unit,unit,unit,unc,unc
22,23,1-4,MF_MB,-48.59903069005801,-55.969709441275114,129.43425268203265,111.19806138011602,4.292149585192704,0.9967099696934077,0.08068799850704893,0.39420485563318636,0.44164696260480096,0.9886493470573029,0.14641388407170763,pos,pos,unit,unit,unit,unc,unc
23,24,1-4,MF_MB,-38.40514006387823,-44.874920542113394,109.04647142967309,90.81028012775646,4.368685713872736,0.8322150951440014,0.5632086063761715,0.6819913049702047,0.6476267058888999,0.4603082337110304,-0.9114211991911005,pos,pos,unit,unit,unit,unc,unc
24,25,1-4,MF_MB,-52.972555594922696,-59.26050351836185,138.18130249176204,119.94511118984539,1.7323855432645283,3.2064632463414378,0.15823298943036712,0.40210289434209007,0.5626873299367049,0.686447398416109,-0.2734642854178757,pos,pos,unit,unit,unit,unc,unc
25,26,1-4,MF_MB,-59.37368873611277,-66.07711968617201,150.98356877414219,132.74737747222554,1.6556620254314927,0.5489642244379764,0.7565807160055021,0.785990942022178,0.553322409269675,0.04439412436611951,-0.3055898372270663,pos,pos,unit,unit,unit,unc,unc
26,27,1-4,MF_MB,-66.49336136459894,-73.33456533507186,165.22291403111453,146.98672272919788,0.5238155635702849,0.45478056793865834,0.4308940256676185,0.6131024537691915,0.38801825383911914,0.3309430480876085,-0.01322321678840804,pos,pos,unit,unit,unit,unc,unc
27,28,1-4,MF_MB,-63.210480054662675,-69.44959277948445,158.65715141124198,140.42096010932534,0.8503887083484998,1.1949234178419839,0.7267849528922026,0.35424584619589145,0.32588025315297514,-0.11891831435490612,0.1243712196949169,pos,pos,unit,unit,unit,unc,unc
28,1,5-8,MF_MB,-26.869694438981156,-33.81525799601895,85.97558017987896,67.73938887796231,1.5868754235464613,2.0390038168515114,0.5790066979096445,0.6869878579724097,0.3797152209585781,2.9287747583267913,-1.3227651140773737,pos,pos,unit,unit,unit,unc,unc
29,2,5-8,MF_MB,-43.73561615814347,-51.04106130988606,119.70742361820359,101.47123231628694,3.139034476118528,1.5439508577339855,0.894703481552898,0.8047375701034304,0.29118174566755783,-0.10788271240257824,-1.0136045952186739,pos,pos,unit,unit,unit,unc,unc
30,3,5-8,MF_MB,-53.73383230511079,-59.70691970371,139.7038559121382,121.46766461022158,1.599576277691774,1.3165811683258353,0.790472243947327,0.5818948534990407,0.5554189925452675,0.3088395232837445,0.3601574990157801,pos,pos,unit,unit,unit,unc,unc
31,4,5-8,MF_MB,-45.605475034228775,-53.726918121130396,123.4471413703742,105.21095006845755,2.3816350848301924,1.2709604416751654,0.060836623574427096,0.39620955366764793,0.5002080949036235,1.7072532559392632,-2.4296842860060703,pos,pos,unit,unit,unit,unc,unc
32,5,5-8,MF_MB,-30.083975888328986,-36.76424296175645,92.4041430785746,74.16795177665797,3.124435015390916,0.8221305014382734,0.7542465401064368,0.6806159166934465,0.5561271104887765,0.15045232132587336,1.8232159419357221,pos,pos,unit,unit,unit,unc,unc
33,6,5-8,MF_MB,-27.68680526989051,-36.16165146376325,87.60980184169766,69.37361053978103,2.997842460748878,1.353338796804926,0.9159630208510734,0.8836172740397591,0.4536592324688215,-0.12733175151936155,2.596017473238051,pos,pos,unit,unit,unit,unc,unc
34,7,5-8,MF_MB,-40.469666470839414,-48.37312771163697,113.17552424359548,94.93933294167883,2.8613333400685432,0.6069518573917848,0.9024311969717541,0.8504553463531117,0.49941979584356366,0.6989835650005445,-1.1329498979063133,pos,pos,unit,unit,unit,unc,unc
35,8,5-8,MF_MB,-48.04599160765253,-54.83240190443785,128.3281745172217,110.09198321530506,1.008237535387439,0.8414315344605587,0.756659961319988,0.7380031083478522,0.555549379652859,0.1659999317755036,1.644680891280339,pos,pos,unit,unit,unit,unc,unc
36,9,5-8,MF_MB,-47.59457094958178,-54.91653197537863,127.4253332010802,109.18914189916356,0.9103487553500565,0.6822248747472734,0.24630002365190296,0.5340521441638763,0.42120040518174484,0.3602664635335577,2.7207210549171794,pos,pos,unit,unit,unit,unc,unc
